2017 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2018),2017 Passengers (10% sample)
161,HRL,Valley International,Harlingen/San Benito,TX,339.51,371.32," 13,981 "
162,SHV,Shreveport Regional,Shreveport,LA,521.16,569.99," 13,939 "
163,MOB,Mobile Regional,Mobile,AL,543.47,594.40," 13,092 "
164,GNV,Gainesville Regional,Gainesville,FL,453.11,495.57," 12,735 "
165,JNU,Juneau International,Juneau,AK,484.03,529.38," 12,730 "
166,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,461.07,504.27," 12,569 "
167,RAP,Rapid City Regional,Rapid City,SD,503.62,550.81," 12,126 "
168,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,408.71,447.01," 11,912 "
169,FCA,Glacier Park International,Kalispell,MT,497.96,544.62," 11,678 "
170,SBP,San Luis County Regional,San Luis Obispo,CA,446.01,487.80," 11,554 "
171,EVV,Evansville Regional,Evansville,IN,531.18,580.95," 11,399 "
172,MLB,Melbourne International,Melbourne,FL,370.12,404.80," 11,235 "
173,GJT,Grand Junction Regional,Grand Junction,CO,455.71,498.41," 11,209 "
174,TVC,Cherry Capital,Traverse City,MI,573.42,627.15," 10,727 "
175,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,530.71,580.43," 10,638 "
176,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,269.96,295.25," 10,553 "
177,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,470.79,514.90," 10,441 "
178,BMI,Central Illinois Regional,Bloomington/Normal,IL,385.85,422.00," 10,266 "
179,PBG,Plattsburgh International,Plattsburgh,NY,240.61,263.15," 10,258 "
180,LAN,Capital Region International,Lansing,MI,417.92,457.08," 10,238 "
181,SWF,Stewart International,Newburgh/Poughkeepsie,NY,375.40,410.58," 10,194 "
182,CRW,Yeager,Charleston/Dunbar,WV,448.70,490.75," 10,166 "
183,MRY,Monterey Regional,Monterey,CA,398.07,435.37," 10,155 "
184,LCK,Rickenbacker International,Columbus,OH,127.59,139.54," 9,951 "
185,BLV,Scott AFB/MidAmerica,Belleville,IL,127.07,138.98," 9,694 "
186,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,443.91,485.50," 9,563 "
187,GTF,Great Falls International,Great Falls,MT,411.11,449.63," 9,559 "
188,IAG,Niagara Falls International,Niagara Falls,NY,159.67,174.63," 9,381 "
189,EYW,Key West International,Key West,FL,356.40,389.80," 8,495 "
190,MOT,Minot International,Minot,ND,532.52,582.42," 8,356 "
191,LBE,Arnold Palmer Regional,Latrobe,PA,145.30,158.92," 8,331 "
192,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,599.39,655.55," 8,165 "
193,RFD,Chicago/Rockford International,Rockford,IL,218.45,238.92," 7,831 "
194,DRO,Durango La Plata County,Durango,CO,426.04,465.96," 7,777 "
195,GRK,Robert Gray AAF,Killeen,TX,533.04,582.99," 7,748 "
196,MGM,Montgomery Regional,Montgomery,AL,492.70,538.87," 7,642 "
197,ELM,Elmira/Corning Regional,Elmira/Corning,NY,405.90,443.93," 7,475 "
198,SCE,University Park,State College,PA,555.82,607.90," 7,322 "
199,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,274.46,300.18," 7,264 "
200,JAC,Jackson Hole,Jackson,WY,604.87,661.55," 7,247 "
201,LNK,Lincoln Airport,Lincoln,NE,488.76,534.56," 7,150 "
202,RST,Rochester International,Rochester,MN,503.75,550.95," 7,118 "
203,IDA,Idaho Falls Regional,Idaho Falls,ID,471.60,515.79," 7,102 "
204,GFK,Grand Forks International,Grand Forks,ND,430.73,471.09," 7,056 "
205,SCK,Stockton Metropolitan,Stockton,CA,131.03,143.31," 6,893 "
206,TOL,Toledo Express,Toledo,OH,328.72,359.52," 6,774 "
207,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,432.89,473.45," 6,633 "
208,STX,Henry E. Rohlsen,Christiansted,VI,358.81,392.43," 6,408 "
209,CWA,Central Wisconsin,Mosinee,WI,584.37,639.12," 6,228 "
210,DLH,Duluth International,Duluth,MN,434.60,475.32," 6,128 "
211,SPI,Abraham Lincoln Capital,Springfield,IL,398.90,436.27," 5,944 "
212,MBS,MBS International,Saginaw/Bay City/Midland,MI,465.86,509.51," 5,815 "
213,BFL,Meadows Field,Bakersfield,CA,501.60,548.61," 5,715 "
214,SGU,St George Regional,St. George,UT,173.71,189.99," 5,683 "
215,AEX,Alexandria International,Alexandria,LA,507.51,555.06," 5,643 "
216,HLN,Helena Regional,Helena,MT,556.18,608.29," 5,642 "
217,CMI,University of Illinois/Willard,Champaign/Urbana,IL,531.46,581.25," 5,608 "
218,CPR,Casper/Natrona County International,Casper,WY,422.72,462.32," 5,424 "
219,PSE,Mercedita,Ponce,PR,235.77,257.86," 5,403 "
220,COU,Columbia Regional,Columbia,MO,428.58,468.74," 5,292 "
221,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,604.68,661.34," 5,238 "
222,MLU,Monroe Regional,Monroe,LA,537.97,588.37," 5,236 "
223,LSE,La Crosse Regional,La Crosse,WI,572.29,625.92," 5,214 "
224,LRD,Laredo International,Laredo,TX,420.58,459.99," 5,196 "
225,ERI,Erie International/Tom Ridge Field,Erie,PA,420.57,459.98," 5,189 "
226,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,484.45,529.84," 5,168 "
227,KTN,Ketchikan International,Ketchikan,AK,482.91,528.16," 5,114 "
228,ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,431.02,471.41," 5,037 "
229,ABI,Abilene Regional,Abilene,TX,528.46,577.98," 4,973 "
230,FSM,Fort Smith Regional,Fort Smith,AR,535.26,585.42," 4,745 "
231,PVU,Provo Municipal,Provo,UT,260.36,284.76," 4,731 "
232,BRO,Brownsville South Padre Island International,Brownsville,TX,545.73,596.86," 4,637 "
233,GRI,Central Nebraska Regional,Grand Island,NE,298.64,326.62," 4,632 "
234,LWS,Lewiston Nez Perce County,Lewiston,ID,450.27,492.46," 4,484 "
235,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,411.85,450.44," 4,093 "
236,YUM,Yuma MCAS/Yuma International,Yuma,AZ,486.30,531.87," 4,039 "
237,SAF,Santa Fe Municipal,Santa Fe,NM,458.85,501.85," 3,916 "
238,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,467.82,511.66," 3,846 "
239,CLL,Easterwood Field,College Station/Bryan,TX,538.27,588.71," 3,823 "
240,ISN,Sloulin Field International,Williston,ND,685.19,749.39," 3,787 "
241,EAT,Pangborn Memorial,Wenatchee,WA,389.90,426.44," 3,631 "
242,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,264.48,289.26," 3,623 "
243,BET,Bethel Airport,Bethel,AK,506.51,553.97," 3,519 "
244,FLG,Flagstaff Pulliam,Flagstaff,AZ,446.25,488.06," 3,483 "
245,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,388.45,424.85," 3,476 "
246,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,498.28,544.97," 3,461 "
247,ACT,Waco Regional,Waco,TX,489.52,535.39," 3,356 "
248,PUW,Pullman Moscow Regional,Pullman,WA,377.25,412.60," 3,308 "
249,SIT,Sitka Rocky Gutierrez,Sitka,AK,466.63,510.35," 3,202 "
250,TYR,Tyler Pounds Regional,Tyler,TX,490.93,536.93," 3,144 "
251,MTJ,Montrose Regional,Montrose/Delta,CO,591.15,646.54," 3,125 "
252,PGV,Pitt Greenville,Greenville,NC,437.36,478.34," 3,099 "
253,ROW,Roswell International Air Center,Roswell,NM,540.52,591.16," 2,998 "
254,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,546.94,598.19," 2,961 "
255,PIH,Pocatello Regional,Pocatello,ID,223.69,244.65," 2,886 "
256,LCH,Lake Charles Regional,Lake Charles,LA,553.90,605.80," 2,859 "
257,ALW,Walla Walla Regional,Walla Walla,WA,354.97,388.23," 2,857 "
258,MQT,Sawyer International,Marquette,MI,603.67,660.24," 2,822 "
259,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,534.50,584.59," 2,778 "
260,GUM,Guam International,Guam,TT,1606.04,1756.53," 2,747 "
261,EGE,Eagle County Regional,Eagle,CO,587.09,642.10," 2,677 "
262,ACK,Nantucket Memorial,Nantucket,MA,303.75,332.21," 2,675 "
263,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,202.05,220.99," 2,600 "
264,VLD,Valdosta Regional,Valdosta,GA,554.96,606.96," 2,573 "
265,FLO,Florence Regional,Florence,SC,412.00,450.61," 2,553 "
266,ADQ,Kodiak Airport,Kodiak,AK,682.23,746.15," 2,447 "
267,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,482.28,527.47," 2,436 "
268,SUX,Sioux Gateway/Col. Bud Day Field,Sioux City,IA,436.67,477.59," 2,400 "
269,DBQ,Dubuque Regional,Dubuque,IA,510.39,558.21," 2,392 "
270,JLN,Joplin Regional,Joplin,MO,491.93,538.03," 2,265 "
271,YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,161.73,176.88," 2,247 "
272,SCC,Deadhorse Airport,Deadhorse,AK,470.62,514.72," 2,219 "
273,DHN,Dothan Regional,Dothan,AL,706.63,772.84," 2,194 "
274,RDD,Redding Municipal,Redding,CA,443.61,485.18," 2,160 "
275,TXK,Texarkana Regional-Webb Field,Texarkana,AR,589.08,644.28," 2,126 "
276,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,444.49,486.13," 2,110 "
277,GTR,Golden Triangle Regional,Columbus,MS,567.68,620.87," 2,061 "
278,ABY,Southwest Georgia Regional,Albany,GA,568.23,621.48," 2,058 "
279,CSG,Columbus Airport,Columbus,GA,531.02,580.78," 2,014 "
280,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,597.84,653.86," 1,947 "
281,COD,Yellowstone Regional,Cody,WY,413.92,452.70," 1,937 "
282,OME,Nome Airport,Nome,AK,547.31,598.60," 1,911 "
283,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,154.51,168.99," 1,792 "
284,OTZ,Ralph Wien Memorial,Kotzebue,AK,563.59,616.40," 1,789 "
285,BTM,Bert Mooney,Butte,MT,306.52,335.24," 1,701 "
286,GCC,Gillette Campbell County,Gillette,WY,413.00,451.69," 1,677 "
287,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,356.79,390.22," 1,646 "
288,GCK,Garden City Regional,Garden City,KS,435.82,476.65," 1,644 "
289,ABR,Aberdeen Regional,Aberdeen,SD,325.96,356.50," 1,638 "
290,BJI,Bemidji Regional,Bemidji,MN,292.50,319.91," 1,634 "
291,STC,St. Cloud Regional,St. Cloud,MN,187.82,205.42," 1,625 "
292,PPG,Pago Pago International,Pago Pago,TT,1016.17,1111.39," 1,615 "
293,BQK,Brunswick Golden Isles,Brunswick,GA,478.16,522.96," 1,612 "
294,HVN,Tweed New Haven,New Haven,CT,412.35,450.98," 1,602 "
295,ALO,Waterloo Regional,Waterloo,IA,500.42,547.31," 1,600 "
296,OGS,Ogdensburg International,Ogdensburg,NY,455.39,498.06," 1,532 "
297,HDN,Yampa Valley,Hayden,CO,518.07,566.61," 1,524 "
298,ART,Watertown International,Watertown,NY,503.75,550.95," 1,503 "
299,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,551.52,603.20," 1,456 "
300,CIU,Chippewa County International,Sault Ste. Marie,MI,583.01,637.64," 1,404 "
301,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,650.19,711.11," 1,371 "
302,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,332.62,363.78," 1,362 "
303,BRD,Brainerd Lakes Regional,Brainerd,MN,519.49,568.17," 1,355 "
304,RHI,Rhinelander/Oneida County,Rhinelander,WI,413.33,452.06," 1,343 "
305,MEI,Key Field,Meridian,MS,642.99,703.23," 1,337 "
306,DUT,Unalaska Airport,Unalaska,AK,990.17,1082.95," 1,336 "
307,EAU,Chippewa Valley Regional,Eau Claire,WI,314.65,344.13," 1,306 "
308,CMX,Houghton County Memorial,Hancock/Houghton,MI,376.19,411.43," 1,285 "
309,PAH,Barkley Regional,Paducah,KY,328.36,359.13," 1,255 "
310,IPT,Williamsport Regional,Williamsport,PA,528.89,578.45," 1,207 "
311,GGG,East Texas Regional,Longview,TX,464.05,507.53," 1,188 "
312,OWB,Owensboro Daviess County Regional,Owensboro,KY,181.43,198.43," 1,187 "
313,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,626.84,685.57," 1,118 "
314,RKS,Rock Springs Sweetwater County,Rock Springs,WY,392.10,428.84," 1,083 "
315,OGD,Ogden-Hinckley,Ogden,UT,98.99,108.26," 1,077 "
316,PSG,Petersburg James A Johnson,Petersburg,AK,460.69,503.86," 1,029 "
317,EKO,Elko Regional,Elko,NV,191.83,209.81, 988 
318,IMT,Ford,Iron Mountain/Kingsfd,MI,612.39,669.77, 970 
319,ESC,Delta County,Escanaba,MI,573.97,627.75, 954 
320,LAR,Laramie Regional,Laramie,WY,492.81,538.99, 940 
321,MKG,Muskegon County,Muskegon,MI,295.45,323.14, 907 
322,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,701.41,767.13, 893 
323,CDC,Cedar City Regional,Cedar City,UT,144.22,157.74, 859 
324,HHH,Hilton Head Airport,Hilton Head,SC,506.51,553.97, 846 
325,JMS,Jamestown Regional,Jamestown,ND,595.71,651.53, 830 
326,HIB,Range Regional,Hibbing,MN,573.10,626.80, 798 
327,CDV,Merle K Mudhole Smith,Cordova,AK,433.95,474.61, 794 
328,HOB,Lea County Regional,Hobbs,NM,471.40,515.57, 793 
329,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,202.14,221.08, 720 
330,AKN,King Salmon Airport,King Salmon,AK,687.98,752.44, 661 
331,WRG,Wrangell Airport,Wrangell,AK,437.25,478.22, 638 
332,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,517.52,566.01, 634 
333,HYS,Hays Regional,Hays,KS,563.07,615.83, 576 
334,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,562.41,615.10, 553 
335,APN,Alpena County Regional,Alpena,MI,522.02,570.93, 546 
336,INL,Falls International Einarson Field,International Falls,MN,564.80,617.72, 510 
337,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,523.70,572.77, 501 
338,SPN,Francisco C. Ada Saipan International,Saipan,TT,1128.01,1233.70, 444 
339,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,472.07,516.31, 439 
340,MKK,Molokai,Hoolehua,HI,620.24,678.36, 431 
341,DLG,Dillingham Airport,Dillingham,AK,647.59,708.27, 427 
341,DVL,Devils Lake Regional,Devils Lake,ND,709.47,775.95, 427 
343,ENA,Kenai Municipal,Kenai,AK,770.54,842.74, 414 
